"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"강서구","화곡8동",한국인,23597,410,544,651,771,1269,2323,2221,1599,1918,1710,1855,1681,1925,1670,1230,938,579,225,59,15,4,23490,394,524,653,779,1252,2291,2216,1594,1893,1683,1870,1717,1876,1684,1239,933,584,228,61,15,4
"강서구","화곡8동",등록외국인,396,14,16,3,2,16,38,35,59,41,26,29,49,28,29,6,1,3,1,0,0,0,398,16,16,2,4,17,39,37,59,39,27,29,46,27,29,6,1,3,1,-,-,-
"강서구","가양1동",계,34255,711,670,786,928,2245,5677,5672,3364,2575,1938,2212,1884,2102,1517,794,511,374,210,57,21,7,34145,678,677,766,912,2217,5637,5682,3355,2563,1933,2203,1905,2071,1557,804,520,368,210,60,21,6
"강서구","가양1동",한국인,33992,711,667,784,925,2235,5623,5616,3322,2543,1917,2197,1880,2088,1513,794,511,373,209,56,21,7,33873,677,673,764,909,2206,5577,5623,3314,2532,1911,2188,1901,2058,1554,804,520,367,209,59,21,6
"강서구","가양1동",등록외국인,263,0,3,2,3,10,54,56,42,32,21,15,4,14,4,0,0,1,1,1,0,0,272,1,4,2,3,11,60,59,41,31,22,15,4,13,3,-,-,1,1,1,-,-
"강서구","가양2동",계,13599,208,224,205,192,452,889,1247,1001,804,576,746,940,1601,1629,1103,751,575,311,114,29,2,13539,212,217,193,195,430,900,1245,996,809,563,718,927,1564,1639,1114,772,579,316,119,29,2
"강서구","가양2동",한국인,13520,208,224,205,190,446,876,1231,986,795,574,741,935,1596,1629,1102,751,575,311,114,29,2,13458,212,217,193,193,423,884,1229,983,800,561,713,922,1559,1639,1113,772,579,316,119,29,2
"강서구","가양2동",등록외국인,79,0,0,0,2,6,13,16,15,9,2,5,5,5,0,1,0,0,0,0,0,0,81,-,-,-,2,7,16,16,13,9,2,5,5,5,-,1,-,-,-,-,-,-
"강서구","가양3동",계,14321,419,220,160,254,468,826,1594,1348,1041,771,883,1049,1325,1368,1003,715,529,244,78,23,3,14207,414,213,161,244,457,796,1590,1357,1031,768,873,1038,1312,1354,1008,717,534,236,78,25,1
"강서구","가양3동",한국인,14232,418,217,159,254,467,820,1587,1334,1030,762,874,1035,1321,1365,998,714,529,244,78,23,3,14116,412,210,160,244,456,790,1584,1343,1018,759,864,1023,1308,1351,1004,716,534,236,78,25,1
"강서구","가양3동",등록외국인,89,1,3,1,0,1,6,7,14,11,9,9,14,4,3,5,1,0,0,0,0,0,91,2,3,1,-,1,6,6,14,13,9,9,15,4,3,4,1,-,-,-,-,-
"강서구","발산1동",계,36044,835,1537,2419,2523,2273,2061,1870,1936,3134,3477,3552,2522,2518,1879,1328,1043,654,323,123,32,5,35955,836,1484,2419,2490,2259,2033,1884,1917,3089,3438,3557,2608,2481,1909,1337,1065,661,318,134,30,6
"강서구","발산1동",한국인,35744,833,1536,2419,2495,2264,2045,1861,1919,3108,3426,3484,2476,2495,1877,1326,1043,654,323,123,32,5,35653,834,1483,2419,2462,2249,2016,1874,1898,3065,3388,3489,2563,2458,1906,1335,1065,661,318,134,30,6
"강서구","발산1동",등록외국인,300,2,1,0,28,9,16,9,17,26,51,68,46,23,2,2,0,0,0,0,0,0,302,2,1,-,28,10,17,10,19,24,50,68,45,23,3,2,-,-,-,-,-,-
"강서구","공항동",계,30316,1135,1802,1248,1024,1494,2349,2531,2573,3129,2185,2241,1933,2145,1700,1063,824,555,260,96,27,2,30035,1075,1762,1264,1010,1446,2314,2493,2521,3121,2155,2237,1989,2106,1690,1075,832,559,251,103,30,2
"강서구","공항동",한국인,29747,1121,1790,1242,1013,1460,2300,2455,2491,3091,2150,2184,1870,2082,1680,1060,819,554,260,96,27,2,29461,1063,1753,1260,999,1403,2258,2418,2444,3077,2120,2178,1925,2050,1670,1072,827,558,251,103,30,2
"강서구","공항동",등록외국인,569,14,12,6,11,34,49,76,82,38,35,57,63,63,20,3,5,1,0,0,0,0,574,12,9,4,11,43,56,75,77,44,35,59,64,56,20,3,5,1,-,-,-,-
"강서구","방화1동",계,42512,1285,1925,2275,2035,2051,2567,3022,2977,3719,3572,3494,2969,3322,2780,1833,1270,820,410,138,41,7,42283,1235,1870,2267,2049,2025,2532,3000,2946,3705,3519,3472,2976,3295,2827,1854,1296,803,421,144,41,6
"강서구","방화1동",한국인,42248,1282,1917,2272,2033,2027,2547,2981,2938,3693,3549,3474,2941,3312,2770,1828,1269,820,409,138,41,7,41999,1231,1862,2264,2047,1998,2508,2955,2902,3677,3493,3451,2952,3284,2817,1849,1295,803,420,144,41,6
"강서구","방화1동",등록외국인,264,3,8,3,2,24,20,41,39,26,23,20,28,10,10,5,1,0,1,0,0,0,284,4,8,3,2,27,24,45,44,28,26,21,24,11,10,5,1,-,1,-,-,-
"강서구","방화2동",계,23036,463,557,607,674,1144,2005,2143,1693,1634,1470,1757,1710,1997,1852,1217,948,668,343,119,31,4,22978,446,555,598,668,1132,1974,2154,1677,1614,1463,1761,1722,1974,1853,1247,962,673,347,120,34,4
"강서구","방화2동",한국인,22759,460,552,604,671,1116,1971,2113,1660,1604,1446,1734,1683,1985,1841,1209,945,668,343,119,31,4,22698,443,550,595,664,1104,1941,2122,1641,1585,1440,1740,1692,1963,1842,1239,959,673,347,120,34,4
"강서구","방화2동",등록외국인,277,3,5,3,3,28,34,30,33,30,24,23,27,12,11,8,3,0,0,0,0,0,280,3,5,3,4,28,33,32,36,29,23,21,30,11,11,8,3,-,-,-,-,-
"강서구","방화3동",계,22199,516,538,661,722,778,1240,1858,1592,1795,1467,1670,1604,2016,1971,1400,1019,723,421,161,43,4,22110,512,523,649,739,774,1209,1826,1583,1787,1463,1680,1608,1954,1978,1418,1042,723,428,165,43,6
"강서구","방화3동",한국인,22075,516,538,660,720,773,1225,1830,1574,1782,1456,1664,1593,2008,1967,1400,1018,722,421,161,43,4,21992,512,523,648,737,771,1195,1800,1564,1775,1452,1674,1597,1946,1975,1418,1041,722,428,165,43,6
"강서구","방화3동",등록외국인,124,0,0,1,2,5,15,28,18,13,11,6,11,8,4,0,1,1,0,0,0,0,118,-,-,1,2,3,14,26,19,12,11,6,11,8,3,-,1,1,-,-,-,-
"강서구","화곡1동",계,52242,1017,1117,1045,1206,2761,6488,6357,4471,4093,3334,3763,3552,3936,3368,2379,1715,1017,431,152,35,5,51791,960,1090,1031,1185,2724,6378,6215,4326,4123,3316,3743,3619,3883,3398,2394,1743,1021,443,158,35,6
"강서구","화곡1동",한국인,51261,990,1091,1032,1191,2726,6374,6211,4338,4014,3270,3673,3453,3851,3332,2366,1713,1015,431,151,34,5,50774,929,1065,1017,1163,2673,6249,6072,4192,4038,3251,3656,3519,3804,3365,2381,1741,1019,443,157,34,6
"강서구","화곡1동",등록외국인,981,27,26,13,15,35,114,146,133,79,64,90,99,85,36,13,2,2,0,1,1,0,1017,31,25,14,22,51,129,143,134,85,65,87,100,79,33,13,2,2,-,1,1,-
"강서구","우장산동",계,44041,1098,2096,2693,2784,2609,2662,2591,2781,4040,4231,4131,2951,2862,2430,1787,1174,721,263,110,22,5,43946,1064,2074,2681,2755,2634,2620,2602,2720,4064,4176,4129,3006,2831,2458,1812,1199,719,269,106,22,5
"강서구","우장산동",한국인,43811,1090,2089,2683,2781,2594,2635,2557,2747,4009,4214,4112,2945,2853,2426,1783,1172,721,263,110,22,5,43708,1056,2067,2672,2753,2618,2591,2566,2685,4031,4159,4109,2999,2822,2454,1808,1197,719,269,106,22,5
"강서구","우장산동",등록외국인,230,8,7,10,3,15,27,34,34,31,17,19,6,9,4,4,2,0,0,0,0,0,238,8,7,9,2,16,29,36,35,33,17,20,7,9,4,4,2,-,-,-,-,-
