"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"종로구","창신1동",한국인,4559,50,59,73,106,216,314,365,253,227,262,384,477,564,440,280,212,179,75,21,2,0,4521,49,58,77,96,211,311,367,253,244,257,364,476,545,445,276,216,175,77,21,3,-
"종로구","창신1동",등록외국인,791,8,5,5,13,178,195,72,63,51,39,50,58,40,8,5,0,0,0,1,0,0,810,8,5,5,22,193,192,69,64,53,39,46,58,41,8,6,-,-,-,1,-,-
"종로구","창신2동",계,8641,89,108,147,213,696,842,615,429,418,503,850,947,870,682,457,328,272,127,38,10,0,8648,88,105,147,218,722,830,617,429,421,497,838,951,862,692,454,332,269,126,41,9,-
"종로구","창신2동",한국인,7541,66,98,141,199,398,581,515,365,360,464,782,889,820,652,445,324,270,124,38,10,0,7510,62,95,142,196,383,570,522,360,363,453,774,892,823,663,443,328,267,124,41,9,-
"종로구","창신2동",등록외국인,1100,23,10,6,14,298,261,100,64,58,39,68,58,50,30,12,4,2,3,0,0,0,1138,26,10,5,22,339,260,95,69,58,44,64,59,39,29,11,4,2,2,-,-,-
"종로구","창신3동",계,6539,150,168,187,235,364,545,520,432,435,400,599,580,620,465,276,234,191,94,37,7,0,6520,140,160,187,231,373,533,518,420,444,384,600,594,611,479,284,233,190,96,36,7,-
"종로구","창신3동",한국인,6369,148,163,185,233,325,508,497,418,417,392,587,577,618,464,276,233,190,94,37,7,0,6345,138,156,185,229,333,493,498,406,425,376,585,592,609,477,283,232,189,96,36,7,-
"종로구","창신3동",등록외국인,170,2,5,2,2,39,37,23,14,18,8,12,3,2,1,0,1,1,0,0,0,0,175,2,4,2,2,40,40,20,14,19,8,15,2,2,2,1,1,1,-,-,-,-
"종로구","숭인1동",계,6102,88,129,151,198,352,470,459,408,405,459,589,558,560,433,307,216,195,86,29,9,1,6114,84,135,151,190,358,478,461,400,410,442,584,580,553,435,313,218,192,90,30,9,1
"종로구","숭인1동",한국인,5780,78,121,147,193,304,415,423,377,381,434,558,531,548,428,306,216,195,86,29,9,1,5782,74,128,147,184,301,421,424,371,388,418,551,552,540,431,312,218,192,90,30,9,1
