"동별(1)","동별(2)",항목,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 3/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)","동별(2)",항목,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
"은평구","수색동",등록외국인,105,4,5,1,3,3,9,14,21,19,6,6,1,7,2,2,1,0,1,0,0,0,119,6,7,1,3,5,8,19,24,22,6,6,1,6,2,2,-,-,1,-,-,-
"은평구","진관동",계,54718,1155,2235,3560,3570,3222,3542,3189,2988,4341,5047,5262,3790,3766,3175,2143,1640,1203,626,207,48,9,54607,1157,2174,3467,3623,3217,3533,3175,2990,4294,4962,5296,3862,3681,3257,2142,1669,1211,633,204,53,7
"은평구","진관동",한국인,54487,1153,2233,3560,3570,3210,3511,3160,2958,4305,5019,5244,3767,3756,3170,2140,1639,1203,625,207,48,9,54382,1155,2172,3467,3623,3203,3504,3148,2960,4260,4937,5276,3838,3673,3252,2139,1668,1211,632,204,53,7
"은평구","진관동",등록외국인,231,2,2,0,0,12,31,29,30,36,28,18,23,10,5,3,1,0,1,0,0,0,225,2,2,-,-,14,29,27,30,34,25,20,24,8,5,3,1,-,1,-,-,-
"은평구","불광2동",계,27073,323,497,599,880,1502,2376,2242,1611,1774,1695,2396,2281,2542,2087,1536,1225,964,403,112,24,4,26972,312,480,607,858,1474,2381,2265,1577,1766,1644,2344,2341,2480,2133,1545,1242,963,420,113,23,4
"은평구","불광2동",한국인,26838,320,493,597,879,1498,2354,2214,1582,1739,1673,2376,2255,2521,2077,1533,1223,962,402,112,24,4,26738,308,476,605,857,1471,2359,2235,1550,1731,1620,2325,2316,2459,2124,1542,1240,961,419,113,23,4
"은평구","불광2동",등록외국인,235,3,4,2,1,4,22,28,29,35,22,20,26,21,10,3,2,2,1,0,0,0,234,4,4,2,1,3,22,30,27,35,24,19,25,21,9,3,2,2,1,-,-,-
"은평구","응암3동",계,23916,349,425,579,725,1362,2075,1878,1471,1602,1521,2068,1862,2106,1811,1352,1143,970,446,144,24,3,23822,331,426,566,695,1341,2051,1877,1464,1595,1498,2059,1863,2073,1871,1355,1144,968,472,145,24,4
"은평구","응암3동",한국인,23537,343,417,570,708,1298,2035,1829,1435,1575,1490,2042,1830,2083,1803,1352,1140,970,446,144,24,3,23444,325,418,557,675,1278,2008,1828,1428,1569,1468,2034,1831,2053,1864,1354,1141,968,472,145,24,4
"은평구","응암3동",등록외국인,379,6,8,9,17,64,40,49,36,27,31,26,32,23,8,0,3,0,0,0,0,0,378,6,8,9,20,63,43,49,36,26,30,25,32,20,7,1,3,-,-,-,-,-
"은평구","역촌동",계,44429,736,1174,1490,1626,2440,3558,3316,2788,3496,3334,4017,3609,3751,3005,2270,1738,1327,562,160,27,5,44207,719,1125,1439,1623,2424,3518,3348,2749,3492,3259,3981,3642,3691,3061,2260,1762,1335,582,163,28,6
"은평구","역촌동",한국인,44026,727,1160,1484,1623,2416,3514,3265,2723,3448,3314,3976,3576,3732,2990,2266,1737,1323,560,160,27,5,43804,711,1113,1433,1618,2396,3473,3294,2684,3445,3239,3940,3612,3672,3047,2258,1761,1331,580,163,28,6
"은평구","역촌동",등록외국인,403,9,14,6,3,24,44,51,65,48,20,41,33,19,15,4,1,4,2,0,0,0,403,8,12,6,5,28,45,54,65,47,20,41,30,19,14,2,1,4,2,-,-,-
